Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
600751.SS,3.92,2020/09/15,15:00 CST,-0.27999973,4.1,4.14,3.88,133769486,,,,,,,
600208.SS,3.71,2020/09/15,15:00 CST,0.19000006,3.51,3.72,3.49,135626850,,,,,,,
300152.SZ,4.89,2020/09/15,16:29 CST,0.049999714,5.07,5.35,4.76,133505124,,,,,,,
002108.SZ,5.14,2020/09/15,16:29 CST,0.27999973,4.88,5.23,4.77,133191592,,,,,,,
002503.SZ,2.83,2020/09/15,16:29 CST,0.109999895,2.73,2.9,2.67,135799454,,,,,,,
300145.SZ,4.19,2020/09/15,16:29 CST,-0.17000008,4.35,4.46,4.13,135911657,,,,,,,
601218.SS,3.96,2020/09/15,15:00 CST,-0.11000013,4.34,4.35,3.8,138671671,,,,,,,
600166.SS,2.65,2020/09/15,15:00 CST,0.06000018,2.57,2.67,2.54,138084093,,,,,,,
300317.SZ,6.59,2020/09/15,16:29 CST,0.13000011,7.0,7.3,6.12,139421271,,,,,,,
300337.SZ,7.84,2020/09/15,16:29 CST,-0.5100002,8.23,8.69,7.79,138339074,,,,,,,
002619.SZ,2.87,2020/09/15,16:29 CST,0.26,2.64,2.87,2.62,144066258,,,,,,,
300064.SZ,6.64,2020/09/08,16:29 CST,0.0,5.89,6.64,5.67,154288836,,,,,,,
002239.SZ,4.69,2020/09/15,16:29 CST,0.42999983,4.3,4.69,4.3,154424795,,,,,,,
002002.SZ,4.01,2020/09/15,16:29 CST,-0.1699996,4.16,4.16,3.92,153879675,,,,,,,
300367.SZ,3.87,2020/09/15,16:29 CST,-0.120000124,3.8,4.15,3.61,159185154,,,,,,,
300059.SZ,23.71,2020/09/15,16:29 CST,0.099998474,23.61,23.78,23.35,161093723,,,,,,,
601111.SS,7.96,2020/09/15,15:00 CST,0.49000025,7.47,7.99,7.47,161287232,,,,,,,
300189.SZ,7.48,2020/09/15,16:29 CST,-0.19000006,7.69,7.92,7.35,165745088,,,,,,,
300296.SZ,8.7,2020/09/15,16:29 CST,-0.3800001,8.97,8.99,8.46,170112504,,,,,,,
